NAME, PRICE, NUMBER_OF_BEDROOMS, NUMBER_OF_BATHROOMS, HOUSE_SIZE, DESCRIPTION_HOUSE, DESCRIPTION_NEIGHBOURHOOD
Cozy Cottage in the Woods," $250,000",2,1.0, 1200 sqft," ""Escape to this charming cottage nestled in the woods. Featuring 2 bedrooms, 1 bathroom, and a spacious deck for outdoor entertaining."""," ""Located in a quiet and peaceful neighbourhood surrounded by nature trails and scenic views."""
Modern Condo in the Heart of the City," $500,000",1,1.5, 800 sqft," ""Experience city living at its finest in this sleek and stylish condo. With 1 bedroom, 1.5 bathrooms, and floor-to-ceiling windows offering stunning views."""," ""Conveniently located in the bustling downtown core, with easy access to restaurants, shops, and public transportation."""
Spacious Family Home with Pool," $750,000",4,3.0, 3000 sqft," ""This beautiful family home has it all - 4 bedrooms, 3 bathrooms, and a backyard oasis with a pool and patio area. Perfect for entertaining and creating lasting memories."""," ""Situated in a family-friendly neighbourhood with top-rated schools and parks nearby."""
Charming Victorian Townhouse," $400,000",3,2.0, 1800 sqft," ""Step back in time with this stunning Victorian townhouse. Featuring 3 bedrooms, 2 bathrooms, and original architectural details throughout."""," ""Located in a historic neighbourhood with tree-lined streets and quaint shops and cafes."""
Luxurious Penthouse with Panoramic Views," $1,000,000",2,2.5, 2000 sqft," ""Live in the lap of luxury in this penthouse with breathtaking views. Boasting 2 bedrooms, 2.5 bathrooms, and high-end finishes and amenities."""," ""Situated in a prestigious building in the heart of the city, with easy access to the best restaurants, shopping, and entertainment."""
Rustic Log Cabin Retreat," $300,000",1,1.0, 1000 sqft," ""Escape to this cozy log cabin surrounded by nature. Featuring 1 bedroom, 1 bathroom, and a wood-burning fireplace for those chilly nights."""," ""Located in a secluded area with plenty of privacy, yet still close to town for convenience."""
Contemporary Townhome with Rooftop Terrace," $600,000",3,2.5, 2200 sqft," ""This modern townhome offers the best of both worlds - 3 bedrooms, 2.5 bathrooms, and a rooftop terrace with stunning city views."""," ""Conveniently located in a vibrant neighbourhood with trendy restaurants, bars, and shops."""
Stately Colonial Estate," $1,500,000",5,4.5, 5000 sqft," ""Live like royalty in this grand colonial estate. Boasting 5 bedrooms, 4.5 bathrooms, and a sprawling backyard with a pool and tennis court."""," ""Situated in an exclusive neighbourhood with large lots and mature trees, providing a sense of privacy and tranquility."""
Chic Loft in Converted Warehouse," $400,000",1,1.0, 900 sqft," ""Experience loft living in this stylish converted warehouse. Featuring 1 bedroom, 1 bathroom, and exposed brick walls and beams for a unique industrial feel."""," ""Located in a trendy neighbourhood with a vibrant arts and culture scene, and close to public transportation for easy commuting."""
Seaside Cottage with Ocean Views," $800,000",2,2.0, 1500 sqft," ""Wake up to the sound of waves in this charming seaside cottage. With 2 bedrooms, 2 bathrooms, and a deck overlooking the ocean, it's the perfect beach retreat."""," ""Situated in a quaint coastal town with a laid-back atmosphere and plenty of outdoor activities to enjoy."""
Modern Farmhouse on Acreage," $900,000",4,3.5, 3500 sqft," ""Escape the hustle and bustle in this stunning modern farmhouse on a large lot. Boasting 4 bedrooms, 3.5 bathrooms, and a wrap-around porch for enjoying the peaceful surroundings."""," ""Located in a rural area with plenty of space and privacy, yet still within driving distance to city amenities."""
Charming Bungalow with Character," $350,000",2,1.0, 1100 sqft," ""This adorable bungalow is full of character and charm. Featuring 2 bedrooms, 1 bathroom, and a cozy front porch for sipping your morning coffee."""," ""Situated in a quiet and friendly neighbourhood with tree-lined streets and a strong sense of community."""
